MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHouseValue
np.float64(3.8456),np.float64(35.0),np.float64(5.461346633416459),np.float64(0.9576059850374065),np.float64(1154.0),np.float64(2.8778054862842892),np.float64(37.96),np.float64(-122.05),np.float64(1.598)
np.float64(4.6808),np.float64(24.0),np.float64(5.258479532163743),np.float64(1.0257309941520467),np.float64(1928.0),np.float64(2.254970760233918),np.float64(33.65),np.float64(-117.9),np.float64(2.455)
np.float64(6.6257),np.float64(39.0),np.float64(5.54177897574124),np.float64(1.0269541778975741),np.float64(939.0),np.float64(2.5309973045822103),np.float64(34.46),np.float64(-119.19),np.float64(4.276)
np.float64(2.1522),np.float64(31.0),np.float64(5.5422343324250685),np.float64(1.2098092643051772),np.float64(1097.0),np.float64(2.989100817438692),np.float64(34.94),np.float64(-117.19),np.float64(0.608)
np.float64(6.2971),np.float64(13.0),np.float64(6.25),np.float64(1.0069444444444444),np.float64(1799.0),np.float64(3.123263888888889),np.float64(34.42),np.float64(-118.43),np.float64(2.183)
np.float64(4.9115),np.float64(31.0),np.float64(5.231578947368421),np.float64(0.9596491228070175),np.float64(1895.0),np.float64(3.324561403508772),np.float64(33.84),np.float64(-117.99),np.float64(2.555)
np.float64(2.8326),np.float64(11.0),np.float64(4.560148056755089),np.float64(1.107958050586058),np.float64(3841.0),np.float64(2.3695249845774216),np.float64(34.1),np.float64(-117.68),np.float64(1.63)
np.float64(3.5208),np.float64(49.0),np.float64(4.697368421052632),np.float64(1.0157894736842106),np.float64(1267.0),np.float64(3.3342105263157893),np.float64(34.43),np.float64(-119.68),np.float64(2.512)
np.float64(2.0952),np.float64(27.0),np.float64(3.412903225806452),np.float64(1.0258064516129033),np.float64(193.0),np.float64(1.2451612903225806),np.float64(33.76),np.float64(-118.08),np.float64(0.713)
np.float64(5.6629),np.float64(33.0),np.float64(5.556053811659193),np.float64(1.0246636771300448),np.float64(1567.0),np.float64(3.513452914798206),np.float64(34.23),np.float64(-118.42),np.float64(1.867)
np.float64(3.2048),np.float64(33.0),np.float64(4.229067930489731),np.float64(1.0173775671406002),np.float64(1469.0),np.float64(2.320695102685624),np.float64(37.36),np.float64(-121.99),np.float64(2.618)
